game_id, venue, sweater_number, game_period, shift_start_time, new_shift_start_time, shift_end_time, new_shift_end_time, duration, new_duration
2020020016, "home", 9, 2, 2111, 2161, 2225, 2225, 114, 64
2020020016, "home", 11, 2, 2069, 2069, 2225, 2111, 156, 42
2020020016, "home", 23, 2, 2072, 2072, 2225, 2111, 153, 39
2013020934, "away", 4, 1, 106, 106, 135, 134, 29, 28
2013020934, "away", 8, 1, 135, 134, 171, 171, 36, 37
2013020934, "away", 40, 1, 138, 134, 167, 167, 29, 33
2013020934, "away", 44, 1, 135, 134, 171, 171, 36, 37
2013020934, "away", 51, 1, 106, 106, 135, 134, 29, 28
2011020012, "away", 15, 1, 204, 171, 216, 216, 12, 45
